german_noun,gender,translation,level
Aufmerksamkeit,die,"attention, awareness, altertness",
Aufnahme,die,"reception, recording, snapshot",B1
Aufregung,die,"excitement, fuss, agitation",
Aufsatz,der,"essay, attachment, upper part",
Aufschrift,die,"inscription, label",
Aufsehen,das,"sensation, furore, stir",
Aufstieg,der,"climb, rise, ascent, promotion",
Auftrag,der,"order, mission, job, assignment",B1
Auftreten,das,"appearance, behaviour, behavior, occurrence",
Auftritt,der,"appearance, performance, gig",B1
Aufwand,der,"expense, effort",
Aufzug,der,"elevator, lift",A1
Auge,das,eye,A1
Augenblick,der,"moment, instant",B1
August,der,August,A1
Ausbau,der,"extension, expansion, consolidation, upgrading",
Ausbildung,die,"training, education, apprenticeship, development",A2
Ausbreitung,die,"spread, spreading, propagation, proliferation, sprawl",
Ausdruck,der,"term, phrase, expression, print, printout",B1
Auseinandersetzung,die,"argument, quarrel, dispute, debate",
Ausfahrt,die,exit,B1
Ausfall,der,"failure, breakdown, outage, loss",
Ausflug,der,"trip, excursion, tour, outing",A1
Ausflügler,der,"tripper, day-tripper",
Ausführung,die,"execution, implementation",
Ausgabe,die,"distribution, edition, expenses",B1
Ausgang,der,"exit, outcome, ending, output",A1
Ausgangspunkt,der,starting point,
Ausgleich,der,"balance, balancing, compensation, equation, settlement",
Aushilfe,die,"temp, temporary help, temporary job",B1
Auskunft,die,information,A1
Ausland,das,"foreign countries, foreign country, abroad",A1
Ausländer,der,"foreigner, alien",A1
Ausmaß,das,"extent, size, scale, dimension",
Ausnahme,die,exception,B1
Ausrichtung,die,"orientation, organization, alignment",
Aussage,die,"statement, testimony",A1
Ausschlag,der,"rash, deflection",
Aussehen,das,"appearance, looks",
Außenminister,der,"foreign minister, Secretary of State, Foreign Secretary",
Außerirdischer,der,"alien, extraterrestrial",
Äußerung,die,"comment, remark, statement",
Aussicht,die,"prospect, view",B1
Aussprache,die,"pronunciation, discussion",B1
Ausstattung,die,"equipment, provision, furnishings, features",
Ausstellung,die,exhibition,A2
Ausstrahlung,die,"charisma, radiance, aura, broadcast",
Austausch,der,"exchange, replacement",
Auswahl,die,"choice, selection",B1
Ausweis,der,"identity card, ID, pass, badge",A1
Auswertung,die,"evaluation, analysis",
Auswirkung,die,"impact, effect, consequence",
Auszeichnung,die,"award, distinction, accolade",
Auszeit,die,"time out, time-out, time off, break, hiatus",
Auszubildende,der,"trainee, apprentice",A2
Auto,das,"automobile, car",A1
Autobahn,die,"motorway, highway, freeway",A1
Autofahrer,der,"driver, motorist",
Automat,der,"machine, vending machine, cash dispenser, ATM",A1
Autor,der,author,A2
Autorin,die,author (female),A2
Avocado,die,avocado,
Baby,das,baby,A1
Babysitter,der,babysitter,A2
Bach,der,"stream, brook, creek",
Bäcker,der,"baker, bakery",A2
Bäckerei,die,bakery,A1
Backofen,der,oven,
Bad,das,"bath, bathroom, spa",A1
Badewanne,die,"bathtub, bath, tub",B1
Bahn,die,"train, railway, track, lane",A1
Bahnhof,der,"station, train station, railway station",A1
Bahnsteig,der,platform,A1
Bakterie,die,bacterium,
Balkon,der,balcony,A1
Ball,der,ball,A2
Ballett,das,ballet (company),B1
Banane,die,banana,A1
Band,das,"ribbon, tape, belt",
Band,der,"volume, tome",
Band,die,band,A2
Bank,die,"bank, bench",A1
Bankleitzahl,die,"bank code, sort code",B1
Banknote,die,"banknote, bill",
Bar,die,bar,B1
Bär,der,bear,B1
Bargeld,das,cash,B1
Bart,der,beard,B1
Basis,die,"basis, base",
Basketball,der,basketball,A2
Batterie,die,battery,B1
Bau,der,"construction, building",B1
Bauch,der,"belly, stomach, tummy",A1
Bauchschmerz,der,"stomachache, abdominal pain",
Bauer,der,farmer,B1
Bauernhof,der,farm,B1
Baum,der,tree,A1
Baumwolle,die,cotton,
Baustelle,die,"site, building site, construction site",A2
Bauwerk,das,"building, structure, construction",
Bayern,das,Bavaria,
Beachtung,die,"attention, consideration, observance",
Beamter,der,"official, officer, civil servant",A1
Bearbeitung,die,"editing, processing, working, handling",
Becher,der,"cup, mug, beaker, tub",
Bedarf,der,"need, demand, requirement",B1
Bedauern,das,regret,
Bedenken,das,"concern, doubt",
Bedeutung,die,"meaning, significance, importance",B1
Bedienung,die,"operation, service, handling, waiter, waitress",
Bedienungsanleitung,die,"operating instructions, instruction manual, user manual",B1
Bedingung,die,"condition, term, stipulation",B1
Bedrohung,die,"threat, menace",
Bedürfnis,das,need,
Beerdigung,die,"funeral, burial",
Beere,die,berry,
Befehl,der,"order, command",
Befreiung,die,"liberation, exemption, release, relief",
Befund,der,"finding, result",
Begabung,die,"talent, gift",
Begegnung,die,"encounter, meeting",
Begeisterung,die,"enthusiasm, excitement",
Beginn,der,"beginning, start, commencement, inception",B1
Begleiter,der,"companion, attendant, accompanist",
Begriff,der,"concept, idea, term",
Begründung,die,"explanation, justification",B1
Begrüßung,die,"greeting, welcome, welcoming",
Behälter,der,"container, tank, vessel, reservoir",
Behandlung,die,treatment,
Behauptung,die,"assertion, claim, statement, allegation",
Behinderung,die,"obstruction, handicap",
Behörde,die,"department, authority, authorities",B1
Beilage,die,"side dish, supplement",
Beileid,das,"condolence, sympathy",
Bein,das,leg,A1
Beispiel,das,example,A1
Beitrag,der,"contribution, input, article, post, fee",B1
Bekämpfung,die,"fighting, controlling, combat",
Bekannte,der,"acquaintance, friend",A1
Belastung,die,"load, strain",
Beleg,der,"receipt, voucher, proof, evidence",B1
Beleidigung,die,"insult, offence, offense",
Belohnung,die,reward,
Bemerkung,die,"remark, comment",
Bemühung,die,effort,
Benutzer,der,user,
Benutzung,die,"use, usage",
Benzin,das,"petrol, gas(oline)",B1
Beobachter,der,"observer, watcher",
Beobachtung,die,"observation, surveillance",
Berater,der,"advisor, consultant, counselor, counsellor",
Beratung,die,"advice, discussion, consultation, counselling",B1
Berechnung,die,calculation,
Bereich,der,"area, region, field, sector, scope",B1
Bereitschaft,die,"willingness, readiness, disposition",
Berg,der,"mountain, hill",A2
Bericht,der,"report, account, review, narrative",B1
Berücksichtigung,die,consideration,
Beruf,der,"occupation, job, profession",A1
Berufsausbildung,die,"vocational training, professional training",
Beschäftigte,der,employee,
Beschäftigung,die,"employment, job, activity, occupation",B1
Bescheid,der,"notice, information, reply",A2
Beschleunigung,die,"acceleration, speeding up",
Beschluss,der,"decision, resolution",
Beschreibung,die,description,B1
Beschuldigter,der,accused (person),
Beschwerde,die,complaint,
Besen,der,"broom, brush, broomstick",
Besitz,der,"property, possession",
Besitzer,der,owner,
Besonderheit,die,"characteristic, speacial feature, specific feature",
Besprechung,die,"meeting, talk, conference, discussion, review",B1
Besserung,die,"improvement, betterment, recovery",B1
Bestand,der,"stock, inventory, supply, continuance, population",
Bestandteil,der,"component, part, element, ingredient",
Bestätigung,die,confirmation,B1
Bestellung,die,"order, reservation, cultivation",
Bestimmung,die,"regulation, purpose, fate",
Besuch,der,visit,A2
Besucher,der,"visitor, guest",
Beteiligung,die,participation,
Betracht,der,consideration,
Betrachter,der,"viewer, observer, beholder",
Betrachtung,die,"contemplation, examination, consideration",
Betrag,der,"amount, sum, value",B1
Betreiber,der,"operator, person who runs sth",
Betreuer,der,"supervisor, caregiver, person in charge",B1
Betreuung,die,"care, support, mentoring",B1
Betrieb,der,"business, operation, company, enterprise",B1
Betriebsrat,der,works council,B1
Betriebssystem,das,operating system,
Betroffene,der,person affected,
Betrug,der,"fraud, scam",
Betrüger,der,"swindler, fraud, fraudster, cheat, imposter",
Bett,das,bed,A1
Bettdecke,die,"blanket, duvet",
Beule,die,"bump, dent",
Beurteilung,die,"judgement, assessment, evaluation, appraisal, rating",
Beutel,der,"bag, pouch, sachet",
Bevölkerung,die,"population, people",B1
Bewegung,die,"movement, motion, exercise",B1
Beweis,der,"proof, evidence",B1
Bewerber,der,"applicant, candidate",
Bewerbung,die,application,A2
Bewertung,die,"assessment, evaluation, valuation, review, rating",
Bewohner,der,"inhabitant, occupant, resident",B1
Bewusstsein,das,"consciousness, awareness",
Bezeichnung,die,"designation, name, term",
Beziehung,die,"relation, relationship",B1
Bezirk,der,"district, region",
Bezug,der,"reference, cover",
Bibel,die,Bible,
Bibliothek,die,library,A2
Biene,die,bee,B1
Bier,das,beer,A1
Bikini,der,bikini,B1
Bilanz,die,"balance, balance sheet",
Bild,das,"picture, image, painting",A1
Bildschirm,der,"screen, monitor, display",B1
Bildung,die,education,
Billion,die,trillion,
Bindung,die,"binding, bond, relationship, attachment",
Biologie,die,biology,A2
Birne,die,pear,A1
Bitte,die,request,A1
Blase,die,"bladder, blister, bubble",
Blatt,das,"sheet, leaf",A2
Bleistift,der,"pencil, pen",A1
Blick,der,"look, view, glance, gaze",A1
Blitz,der,"flash, lightning",B1
Block,der,"block, bloc, pad",
Blödsinn,der,"nonsense, rubbish, bullshit",
Blog,der,blog,A2
Blume,die,flower,A1
Blumenkohl,der,cauliflower,
Bluse,die,blouse,A2
Blut,das,blood,B1
Blüte,die,"blossom, flower, bloom",
Boden,der,"ground, floor, bottom, soil",B1
Bogen,der,"bow, arc, sheet",A1
Bohne,die,bean,A2
Bombe,die,bomb,
Boot,das,boat,B1
Bord,der,board,
Börse,die,"stock market, stock exchange, exchange",
Botschaft,die,"message, embassy",B1
Branche,die,"sector, industry, line of business, field, branch",
Brand,der,fire,
Brasilien,das,Brazil,
Braten,der,"roast, joint",B1
Braut,die,bride,
Bräutigam,der,"groom, bridegroom",
Brautpaar,das,"bride and groom, bridal couple",
Brei,der,"mash, pap, porridge, mush, pulp",
Breite,die,"width, breadth, latitude",B1
Bremse,die,brake,B1
Brett,das,"board, plank, shelf",
Brief,der,letter,A1
Briefkasten,der,"letter box, mailbox, postbox, pillar box",B1
Briefmarke,die,"stamp, postage stamp",A1
Brieftasche,die,wallet,B1
Briefträger,der,"postman, postwoman, mail carrier",B1
Briefumschlag,der,envelope,B1
Brille,die,"glasses, spectacles, specs",A2
Brombeere,die,blackberry,
Broschüre,die,brochure,B1
Brot,das,bread,A1
Brötchen,das,"roll, bread roll, bun",A1
Brücke,die,bridge,A2
Bruder,der,brother,A1
Brust,die,"breast, chest",B1
Bube,der,"boy, jack",
Buch,das,book,A1
Bücherei,die,library,
Buchhandlung,die,bookshop,B1
Buchstabe,der,"letter, character",A1
Bucht,die,"bay, cove, inlet",
Buchung,die,"booking, posting, reservation",
Budget,das,budget,
Buffet,das,buffet,B1
Bühne,die,stage,B1
Bund,der,"association, alliance, federal government, covenant, waistband",
Bundeskanzler,der,Federal Chancellor,
Bundesland,das,"state, federal state, province",
Bundesliga,die,"national league, national division, federal division, German soccer league",
Bundesregierung,die,federal government,
Bundesrepublik,die,Federal Republic,
Bundestag,der,German parliament,
Bundeswehr,die,German Armed Forces,
Bündnis,das,alliance,
Burg,die,"castle, fortress",B1
Bürger,der,citizen,B1
Bürgermeister,der,mayor,
Büro,das,office,A2
Bürste,die,brush,B1
Bus,der,bus,A1
Busch,der,bush,
Butter,die,butter,A1
Butterbrot,das,"bread and butter, sandwich",
Café,das,"coffee house, café, coffee shop",A1
Cafeteria,die,cafeteria,A2
CD,die,"CD, (compact) disc",A1
Celsius,das,Celsius,
Cent,der,cent,A1
Champagner,der,champagne,
Champion,der,champion,
Chance,die,"chance, opportunity",B1
Chaos,das,chaos,
Charakter,der,character,
Chef,der,"head, leader, boss, manager, director",A1
Chemie,die,chemistry,A2
Chili,die,"chilli, chili",
China,das,China,
Chinesisch,das,Chinese,
Chirurg,der,surgeon,
Chor,der,"choir, chorus",
Christ,der,Christian,
Clown,der,clown,
Club,der,club,A2
Comic,der,comic,A2
Computer,der,computer,A1
Couch,die,"couch, sofa",B1
Cousin,der,cousin,A2
Cousine,die,cousin (female),A2
Creme,die,"cream, mousse",A2
Dach,das,roof,B1
Dachboden,der,"attic, loft",
Dame,die,"lady, queen, checkers",A1
Dänemark,das,Denmark,
Dank,der,"thanks, gratitude",A1
Dankbarkeit,die,"gratitude, appreciation, thankfulness, gratefulness",
Darlehen,das,loan,
Darstellung,die,"presentation, description",B1
Datei,die,"file, data file",A2
Daten,die,data,B1
Datum,das,date,A1
Dauer,die,"length of time, duration",B1
Daumen,der,thumb,
Debatte,die,debate,
Debüt,das,debut,
Decke,die,"ceiling, blanket, cover, mantle",B1
Deckel,der,"lid, cover, cap, top",
Definition,die,definition,
Defizit,das,deficit,
Dekoration,die,decoration,
Delle,die,dent,
Demokratie,die,democracy,
Demonstrant,der,demonstrator,
Denkmal,das,"monument, memorial, statue",B1
Depression,die,depression,
Design,das,design,
Dessert,das,dessert,B1
Detail,das,detail,B1
Detektiv,der,"detective, investigator",
Deutsch,das,German,A2
Deutsche,der,German,A1
Deutschland,das,Germany,A1
Dezember,der,December,A1
Diagnose,die,diagnosis,
Dialekt,der,dialect,B1
Dialog,der,"dialog, dialogue",B1
Diät,die,diet,B1
Dichte,die,density,
Dichter,der,"poet, writer",
Dieb,der,"thief, burglar",B1
Diebstahl,der,theft,
Dienst,der,"service, duty",B1
Dienstag,der,Tuesday,A1
Dienstleistung,die,service,
Differenz,die,"difference, disagreement",
Digitalisierung,die,digitalization,
Dimension,die,dimension,
Ding,das,"thing, item",A2
Dingsbums,das,"gizmo, thingamabob, doodah, doohickey",
Diplom,das,"degree, certificate, diploma",B1
Direktor,der,"director, principal",A2
Dirigent,der,conductor,
Disco,die,"disco, club",A1
Diskussion,die,"discussion, debate",B1
Display,das,display,
Distanz,die,distance,B1
Disziplin,die,discipline,
Doktor,der,doctor,A1
Dokument,das,document,B1
Dolmetscher,der,interpreter,
Donner,der,thunder,B1
Donnerstag,der,Thursday,A1
Doppelbett,das,double bed,B1
Doppelzimmer,das,double room,A1
Dorf,das,village,A1
Dose,die,"can, tin, box",B1
Download,der,download,
Dreck,der,"dirt, mud, filth, crud",B1
Dreharbeit,die,"shooting, filming",
Dreieck,das,triangle,
Dreiviertelstunde,die,"three-quarters of an hour, 45 minutes",A1
Drittel,das,third,A1
Droge,die,drug,B1
Drogerie,die,"chemist's (shop), drugstore",B1
Druck,der,"pressure, compression, push, printing",B1
Drucker,der,printer,A1
Düne,die,dune,
Dunkel,das,"darkness, dark",
Dunkelheit,die,"darkness, obscurity",
Durchbruch,der,"breakthrough, breach",
Durchhaltevermögen,das,"stamina, perseverance, endurance, staying power",
Durchmesser,der,diameter,
Durchsage,die,"announcement, message",A1
Durchschnitt,der,average,B1
Durst,der,thirst,A1
Dusche,die,shower,A1
Dutzend,das,dozen,
E-Book,das,e-book,A2
"E-Mail, Email",die,"email, e-mail",A1
Ebene,die,"plane, level, plain",
EC-Karte,die,"cash card, debit card",B1
Ecke,die,corner,A1
Effekt,der,effect,
Effizienz,die,efficiency,
Ehe,die,marriage,B1
Ehefrau,die,wife,A1
Ehegatte,der,"husband, spouse",
Ehemann,der,husband,A1
Ehepaar,das,married couple,
Ehepartner,der,spouse,A2
Ehre,die,"honor, honour, privilege",
Ehrgeiz,der,ambition,
Ehrlichkeit,die,honesty,
Ei,das,egg,A1
Eichhörnchen,das,squirrel,
Eifersucht,die,jealousy,
Eigenschaft,die,"property, characteristic, feature, quality",
Eigentum,das,"property, ownership",
Eigentümer,der,"owner, proprietor",
Eile,die,"haste, hurry, rush",B1
Eimer,der,"bucket, pail, bin",
Einbahnstraße,die,one-way street,B1
Einblick,der,"insight, glimpse",
Einbrecher,der,burglar,B1
Einbruch,der,"break in, burglary, intrusion, collapse, slump",B1
Eindruck,der,impression,B1
Einfahrt,die,"entry, entrance, driveway",B1
Einfall,der,"idea, invasion, incursion",B1
Einfluss,der,influence,B1
Einführung,die,introduction,B1
Eingang,der,"entry, entrance, receipt, input",A1
Eingriff,der,"intervention, interference, procedure",
Einhaltung,die,"compliance, observance, adherence",
Einheit,die,"unity, unit",
Einigung,die,agreement,
Einkauf,der,"shopping, purchase, purchasing/buying department",B1
Einkaufszentrum,das,"(shopping) mall, shopping centre",A2
Einkommen,das,income,B1
Einladung,die,invitation,A1
Einleitung,die,"introduction, initiation, intro, preface",B1
Einnahme,die,"earnings, income, revenue, taking",B1
Einrichtung,die,"institution, facility, furnishings",B1
Einsamkeit,die,"loneliness, solitude, isolation, seclusion",
Einsatz,der,"use, application, commitment, operation, inset",
Einschätzung,die,"opinion, assessment, evaluation, estimation",
Einschränkung,die,"restriction, limitation, constraint",
Einschreiben,das,"registered letter, registered mail, certified mail",B1
Einsicht,die,"view, insight",
Einspruch,der,"objection, opposition, appeal",
Einstellung,die,"attitude, setting, employment, cessation",
Eintragung,die,"entry, registration",
Eintritt,der,"entry, admission, entrance",A1
Eintrittskarte,die,ticket,A1
Einwohner,der,inhabitant,B1
Einzahlung,die,"deposit, payment",B1
Einzelfall,der,"individual case, single case, specific case",
Einzelheit,die,detail,B1
Einzelkind,das,only child,B1
Einzelzimmer,das,single room,A1
Eis,das,"ice, ice cream",A2
Eisenbahn,die,"train, rail, railway, railroad",B1
Elefant,der,elephant,B1
Element,das,element,
"Ellenbogen, Ellbogen",der,elbow,
Eltern,die,parents,A1
Emotion,die,emotion,
Empfang,der,reception,B1
Empfänger,der,"recipient, receiver, consignee, addressee",A1
Empfehlung,die,recommendation,B1
Ende,das,end,A1
Endung,die,ending,
Energie,die,"energy, power",B1
Engagement,das,"commitment, engagement, dedication",
Engel,der,angel,
England,das,England,
Englisch,das,English,A2
Enkel,der,grandchild (male),A2
Enkelin,die,grandchild (female),A2
Enkelsohn,der,grandson,
Enkeltochter,die,granddaughter,
Ensemble,das,ensemble,
Entdeckung,die,discovery,
Ente,die,"duck, canard",B1
Entfernung,die,distance,B1
Entführung,die,"kidnapping, abduction, hijacking",
Entlassung,die,"dismissal, discharge, release",B1
Entschädigung,die,compensation,
Entscheidung,die,decision,B1
Entschuldigung,die,"apology, excuse",A1
Entsorgung,die,disposal,
Entspannung,die,relaxation,
Entstehung,die,"origin, emergence, formation",
Enttäuschung,die,disappointment,B1
Entwicklung,die,development,B1
Entwurf,der,"sketch, design, draft",
Entzündung,die,"inflammation, ignition",
Epoche,die,"epoch, era, period, age",
Erbe,das,"inheritance, heritage, legacy",
Erdbeben,das,earthquake,
Erdbeere,die,strawberry,
Erde,die,"earth, world, ground, soil",B1
Erdgeschoss,das,"ground floor, ground level, first floor",A2
Ereignis,das,"event, incident, occurrence",B1
Erfahrung,die,experience,A2
Erfassung,die,"capture, collection, acquisition, detection, recording",
Erfindung,die,invention,B1
Erfolg,der,success,B1
Erfüllung,die,fulfilment,
Ergebnis,das,"result, outcome",A1
Erhalt,der,"receipt, preservation",
Erhaltung,die,"preservation, maintenance, conservation",
Erhöhung,die,"increase, raise, elevation, increment",B1
Erholung,die,"recreation, recovery, relaxation, rest",B1
Erinnerung,die,"memory, reminder",B1
Erkältung,die,"cold, chill",B1
Erkenntnis,die,"realisation, recognition, discovery, knowledge, insight",
Erklärung,die,"explanation, statement, declaration",B1
Erkrankung,die,"illness, disease",
Erlaubnis,die,"permission, permit, authorization, leave",A2
Erlebnis,das,experience,B1
Ermäßigung,die,"reduction, discount, abatement",A2
Ermittlung,die,"investigation, determination",
Ernährung,die,"nutrition, food, diet",B1
Ernte,die,"harvest, crop",B1
Eröffnung,die,opening,B1
Erreger,der,"pathogen, agent, virus, germ",
Ersatz,der,"replacement, compensation, substitute, substitution, spare",B1
Ersatzteil,das,"spare part, replacement part",
Erscheinung,die,"appearance, phenomenon",
Erschöpfung,die,"exhaustion, fatigue, depletion",
Ersparnis,die,"saving, savings",
Ertrag,der,"yield, revenue, income, return, output",
Erwachsene,der,"adult, grown-up",A1
Erwartung,die,expectation,
Erweiterung,die,"expansion, extension",
Erwerb,der,"acquisition, purchase",
Erzähler,der,"storyteller, narrator",
Erzählung,die,"narration, story",B1
Erziehung,die,"upbringing, education",B1
Esel,der,"donkey, ass, idiot",
Eselsbrücke,die,mnemonic,
Essen,das,"food, meal, dinner",A1
Essig,der,vinegar,B1
Esslöffel,der,tablespoon,
Etage,die,"floor, level, story, storey",B1
Eule,die,owl,
Euro,der,euro,A1
Europa,das,Europe,A1
Europäer,der,European,A1
Exemplar,das,"copy, specimen",
Existenz,die,existence,
Experiment,das,experiment,
Experte,der,expert,B1
Export,der,export(ation),B1
Fabrik,die,factory,B1
Fach,das,"compartment, subject, shelf, pocket, field",A2
Fachbereich,der,"department, field, special field, faculty",
Fachhochschule,die,"college of higher education, university of applied sciences",
Fachkraft,die,"expert, specialist, professional, skilled worker",
Fachleute,die,"experts, professionals, specialists",B1
Fachmann,der,"expert, specialist, professional",B1
Faden,der,"thread, string",
Fähigkeit,die,"ability, capability, skill",B1
Fahne,die,flag,
Fahrbahn,die,road(way),B1
Fähre,die,ferry,B1
Fahrer,der,driver,A1
